"HUB Windows Server 2022 - 20250424","04/24/2025 at 08:49:46 (GMT-0400)"
"GDIT - General Dynamics Information Technology","3150 Fairview Park Drive",,"Falls Church","Virginia","United States of America","22042"
"Bashir Abdul","gdtge3ba1","Reader"
SUMMARY
Policy Title,IPs,Asset Tags,Host Instance,Policy Locking,Policy Last Evaluated,Technologies,Controls,Assets,Control Instances,Passed,Failures,Error,Approved Exceptions,Pending Exceptions,Policy Id
"CHQ-CIS Benchmark for Microsoft Windows Server 2022, v3.0.0, [Automated and Manual, Level 1 - Member Server] v.6.0","N/A","Included(any): CHQ-Hub - Site;
Excluded(any);"," ()","Unlocked","04/22/2025 at 14:28:49 (GMT-0400)","Windows 2022 Server","337","2","674","226 (33.53%)","448 (66.47%)","0","0","0","6224106"
Host Statistics (Percentage of Controls Passed per Host)
IP Address,Tracking Method,DNS Name,Netbios Name,Operating System,Last Scan Date,Percentage,Qualys Host ID,Host ID
"10.212.0.97","AGENT","1431-ntt-mgmt-2","1431-NTT-MGMT-2","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","33.53% (113 of 337)","4f5a71d4-1908-402d-a5e8-d53732b8bc9c","483999542"
"10.212.0.98","AGENT","spg-gd-rw-mgmt","SPG-GD-RW-MGMT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 08:00:35 (GMT-0400)","33.53% (113 of 337)","b233036d-92c0-4076-a1db-2fd0e55f74cb","483042163"
ASSET TAGS
"10.212.0.97","Cloud Agent","Windows Server 2022","CHQ Enterprise","CHQ-SVR-Windows","CHQ-Hub - Site"
"10.212.0.98","Cloud Agent","Windows Server 2022","CHQ Enterprise","CHQ-SVR-Windows","CHQ-Hub - Site"
RESULTS
Host IP,DNS Hostname,NetBIOS Hostname,Tracking Method,Operating System,Last Scan Date,Evaluation Date,Control ID,Technology,Control,Criticality Label,Criticality Value,Instance,Status,Remediation,Deprecated,Qualys Host ID
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","10089","Windows 2022 Server","Status of the 'Always install with elevated privileges' setting for Windows User","CRITICAL","4","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","1134","Windows 2022 Server","Status of 'logon banner title' setting (Legal Notice)","SERIOUS","3","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","2484","Windows 2022 Server","Status of the 'Store passwords using reversible encryption' setting","URGENT","5","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","2388","Windows 2022 Server","Current list of Groups and User Accounts granted the 'Lock Pages in Memory' right","URGENT","5","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","8231","Windows 2022 Server","Configure 'Network Security:Configure encryption types allowed for Kerberos'","SERIOUS","3","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","1527","Windows 2022 Server","Status of the 'Windows Firewall: Log Successful Connections (Domain)' setting","SERIOUS","3","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","2181","Windows 2022 Server","Current list of Groups and User Accounts granted the 'Access this computer from the network' right","URGENT","5","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","2185","Windows 2022 Server","Current list of Groups and User Accounts granted the 'Allow logon through Terminal Services' right","URGENT","5","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","8425","Windows 2022 Server","Status of ""Do not display the password reveal button""","SERIOUS","3","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
